Movie Name,Release Date,Genre,Runtime,Story,IMDb Rating,Vote Count,Director,Actors,Movie URL
Bangalore Days,2014-05-30,"Comedy, Drama, Musical",2h 51m,"A fun roller coaster ride about three young people, Aju, Divya and Kuttan who are cousins, reach Bangalore to dream, discover and explore.",8.3,28493,Anjali Menon,"Dulquer Salmaan, Nivin Pauly, Nazriya Nazim",https://www.imdb.com/title/tt3668162/
Ratsasan,2018-10-05,"Crime, Drama, Mystery",2h 26m,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,8.3,60586,Ram Kumar,"Vishnu Vishal, Amala Paul, Radha Ravi",https://www.imdb.com/title/tt7060344/
Hera Pheri,2000-03-31,"Action, Comedy, Crime",2h 36m,"Two tenants and a landlord look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",8.2,81453,Priyadarshan,"Akshay Kumar, Suniel Shetty, Paresh Rawal",https://www.imdb.com/title/tt0242519/
Chithram,1988-12-23,"Comedy, Drama, Musical",2h 39m,A woman hires a stranger to pose as her husband because she doesn't want her ailing father to know that her fiance broke their engagement.,8.7,6899,Priyadarshan,"Mohanlal, Nedumudi Venu, Renjini",https://www.imdb.com/title/tt0214585/
Satya,1998-07-03,"Action, Crime, Drama",2h 50m,"An innocent man is embroiled in the underworld after being falsely charged, and he sets out to punish the perpetrators who made his life miserable.",8.2,18640,Ram Gopal Varma,"J.D. Chakravarthi, Manoj Bajpayee, Urmila Matondkar",https://www.imdb.com/title/tt0195231/
Premam,2015-06-12,"Comedy, Drama, Musical",2h 36m,A young man has three opportunities to find love. Will the third time be the charm?,8.3,28638,Alphonse Puthren,"Nivin Pauly, Sai Pallavi, Madonna Sebastian",https://www.imdb.com/title/tt4679210/
Chupke Chupke,1975-04-11,"Comedy, Drama, Romance",2h 26m,A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.,8.3,14059,Hrishikesh Mukherjee,"Dharmendra, Sharmila Tagore, Amitabh Bachchan",https://www.imdb.com/title/tt0072783/
Pyaasa,1957-02-19,"Drama, Musical, Romance",2h 26m,"Vijay, a talented but indigent poet, struggles for love and recognition in this selfish world.",8.3,8353,Guru Dutt,"Guru Dutt, Waheeda Rehman, Mala Sinha",https://www.imdb.com/title/tt0050870/
Pather Panchali,1955-08-26,"Drama, History",2h 5m,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",8.2,42024,Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee",https://www.imdb.com/title/tt0048473/
Agent Sai Srinivasa Athreya,2019-06-20,"Comedy, Crime, Mystery",2h 28m,Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,8.3,22329,Swaroop Rsj,"Naveen Polishetty, Shruti Sharma, Krishneswara Rao",https://www.imdb.com/title/tt10214826/
